Qn,Test,Qn_Text,Subspec,A,B,C,D,E,Ans,Pc_A,Pc_B,Pc_C,Pc_D,Pc_E,Explanation,GPT3_marking,GPT3_explain,Cat,Cat_Long,GPT3_ans_letter,GPT4_marking,GPT4_explain,GPT4_ans_letter,GPT35_marking,GPT35_ans_letter
14286,231994,You are reviewing the PET-CT scan of a patient with a known lung mass. The scan confirms a thoracic lesion showing avid uptake but there is also avidity in the right vocal cord. Which of the following statements is correct? Select ONE answer only.,SBA: Cardiothoracic and vascular,The primary lung lesion is probably in the AP window,There is probably metastatic spread of the lung cancer to the right vocal cord,The lung lesion is probably a metastasis from a laryngeal cancer,The patient has lung cancer and laryngeal cancer,The lung cancer is most likely squamous cell in origin,A,59%,9%,16%,4%,12%,"Explanation:
Focal unilateral vocal cord uptake on a PET-CT scan is more likely to be due to the increased workload of the contralateral vocal cord muscles compensating for ipsilateral paralysis from involvement of the ipsilateral recurrent laryngeal nerve in the chest rather than metastatic infiltration of the contralateral vocal cord itself.
Vocal cord paralysis is a known sign of thoracic malignancy owing to innervation by the recurrent laryngeal nerve.
Left - passes through the aortopulmonary window, under the aorta 
Right - passes under the right subclavian artery
  Infiltration of one of these nerves would lead to a unilateral vocal cord palsy. Since the left has a longer thoracic course, it is at greater risk of involvement in a thoracic malignancy. Infiltration may be by the index mass itself, or by an involved lymph node distant from the primary mass.",FALSE,The PET-CT scan is confirming avidity in both the thoracic lesion and the right vocal cord. This indicates that there is likely to be both a lung cancer and a laryngeal cancer present in the patient. The other options are not supported by the imaging evidence and therefore cannot be confirmed.,1,"3. A question about ethical considerations.

This question falls under Category 1: Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",D,FALSE,,B,,
12566,231994,A 70-year-old man with a high Hba1c and poorly controlled hypertension undergoes a CT scan of his head. This shows multiple fluid density spaces in both basal ganglia. A subsequent MRI shows no restriction in diffusion. Which of the following best explains these findings?,SBA: Central Nervous and Head & Neck,Lacunar infarcts,Perivascular space,Lyme disease,Neurocysticercosis,Cryptococcus,A,51%,40%,1%,2%,7%,"Explanation:
In day to day reporting would be second nature to diagnose these. Both VR spaces and lacunar infarctions could be described in this manner however the history of diabetes and hypertension shifts the balance more towards lacunar infarctions. Chronic infarctions do not restrict diffusion.
  Cryptococcus
This is an opportunistic yeast-like fungus which therefore requires a degree of immunocompromise, typically AIDS. The cryptococcomas are non-enhancing low density lesions in the basal ganglia. A granulomatous meningitis can also occur. They can be differentiated from VR spaces on FLAIR where VR spaces will suppress (being CSF in content) whereas the mucoid cryptococcomas will not.
  Neurocysticercosis
A CNS infection caused by a tapeworm native to low income countries and carried by pigs. Cysts calcify over time. The cysts are classically described as a ‘cyst with a dot’.
  Lyme disease
Lyme disease is caused by the bacterium Borrelia burdorferi which is carried by ticks. Neurological findings are cranial or peripheral neuropathies and meningitis. On MRI there can be areas of high T2 signal and the condition is known as an MS mimic.",TRUE,"Lacunar infarcts are small, deep infarcts that occur in the basal ganglia, which is consistent with the CT scan findings of multiple fluid density spaces in both basal ganglia. Additionally, the MRI showed no restriction in diffusion, which further supports the diagnosis of lacunar infarcts. The other options do not explain the findings as well as lacunar infarcts.",2,,A,TRUE,,A,,
14161,231994,A 56-year-old woman presents with neck discomfort with pain and weakness in her arms and hands. She undergoes an MRI of her cervical spine for further assessment. The C4/C5 vertebral disc is seen to extrude posteriorly and effaces the exiting nerve root. Which nerve root is most likely to be affected? Select ONE answer only.,SBA: Musculoskeletal and Trauma,C5,C7,C4,T1,T2,A,81%,1%,17%,1%,0%,"Explanation:
In the cervical spine the nerve roots exit at the spinal cord without needing to traverse (as in the lumbar spine). The exiting nerve root takes the name of the vertebra BELOW the affected disc. A disc protrusion at C3/4 will affect the C4 nerve root. This allows for the extra nerve root at C8 before reaching the thoracic spine. In the thoracic spine the affected level takes its name from the vertebral body ABOVE that level.
In the lumbar spine the exiting nerve root is usually compressed in the neural foramen, whereas the traversing nerve root is compressed usually in the lateral recess. Far lateral bulges affect the exiting nerve root (takes its name from the vertebral body ABOVE that level). Paracentral bulges affect the traversing nerve root (takes its name from the vertebral body BELOW that level).
  Image © Medical Exam Prep
 ",TRUE,"I chose 1 because the C4/C5 vertebral disc is seen to extrude posteriorly and efface the exiting nerve root. This means that the C4/C5 disc is pressing on the nerve root that exits between the C4 and C5 vertebrae, which would be the C5 nerve root.",1,"3. A question about the application of knowledge and skills in a clinical setting.

3. A question about the application of knowledge and skills in a clinical setting.",A,FALSE,,B,,
9196,231994,A 32-year-old lady visits her GP with troubling symptoms of bloating and abdominal distension. Her GP performs a pregnancy test which is negative and refers her urgently for a scan. She undergoes a CT scan which shows extensive ascites as well as deposits causing scalloping of the liver. What is the most likely diagnosis?,SBA: Gastrointestinal,Pseudomyxoma peritonei,Cardiac failure,TB peritonitis,Ovarian cancer,Mesothelioma,A,89%,0%,1%,9%,1%,"Explanation:
Pseudomyxoma peritonei
Pseudomyxoma peritonei is the term used to denote the peritoneal cavity filled with mucinous fluid secondary to intraperitoneal rupture of a mucinous tumour. Most commonly the original tumour is an appendix mucocoele. Scalloping of the liver by loculated ascites is typical. It is more common in women than men and patients range in age from their 20s to 80s.",FALSE,"I chose this option because ovarian cancer is the most common cause of ascites and scalloping of the liver on a CT scan. Other possible causes of ascites and scalloping include cardiac failure, TB peritonitis, mesothelioma, and pseudomyxoma peritonei, but these are all less common than ovarian cancer. Additionally, the patient's age and negative pregnancy test make ovarian cancer even more likely.",2,,A,FALSE,,D,,
9216,231994,"A 40 -year-old woman presents with acute abdominal pain. On examination she is tender and pyrexial. She is pyrexial, with an elevated WCC/CRP. Imaging shows that she has an IUCD which is correctly positioned in the uterus, a right adnexal abscess which is tracking into the psoas, and right sided hydronephrosis. What is the most likely diagnosis?","SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",Actinomycosis,Tuberculosis,Complicated appendicitis,Septic ectopic pregnancy,Septic trophoblastic disease,A,69%,8%,8%,12%,3%,"Explanation:
Actinomycosis
The bacterium actinomyces israelii produces proteases which allows it to cross structures which would otherwise present a barrier to spread of infection. Within the abdominal cavity actinomycosis leads to abscess formation, and fistula development. It is usual for the patient to have previously suffered a ruptured appendix or to be using an IUCD, or other similar entities. In the case of an IUCD, tuboovarian abscesses can form and spread locally to involve the psoas. Extrinsic ureteric compression leads to hydronephrosis.
  Tuberculosis
Abdominal tuberculosis most commonly affects the ileocaecal junction with thickening of the ileocaecal valve and narrowing of the terminal ileum. This can be seen on fluoroscopic examination as the Fleischner sign or umbrella sign where the gaping ileocaecal valve abuts the thin, strictured terminal ileum. Local lymph node enlargement with or without central low attenuation to the lymph nodes may be seen on CT. Multiple different lesions in multiple sites (i.e. skip lesions) is also a feature and a characteristic feature is of elevation of the margins of an ulcer which follow the orientation of lymphoid follicles. In the colon this means the margins are elevated in the transverse plane but in the terminal ileum they are longitudinal. 
The involvement of the ileocaecal valve and the presence of skip lesions means that a key differential diagnosis is Crohn disease. Over half of cases of abdominal tuberculosis will have concurrent ascites whereas this is a relatively rare feature for Crohn disease and can be used as a discriminator.
Specifically relating to the stomach, tuberculosis can cause pyloric stenosis, multiple deep ulcers on the lesser curve, and linitis plastic type narrowing of the antrum.",FALSE,"Complicated appendicitis is the most likely diagnosis because the patient has acute abdominal pain, is tender and pyrexial, has an elevated WCC/CRP, and imaging shows a right adnexal abscess that is tracking into the psoas and right sided hydronephrosis. These signs and symptoms are consistent with an appendicitis that has progressed to the point of causing an abscess and hydronephrosis.",2,,C,TRUE,,A,,
11656,231994,A 15 yr old girl with irregular periods presents with an acute fever and pain and raised βHCG. She denies being sexually active. On USS there is a cystic mass with thick septa on the left. What is the most likely diagnosis?,SBA: Paediatrics,Torted malignant germ cell tumour,Malignant granulosa cell,Torted dermoid,Pelvic Inflammatory Disease,Ectopic pregnancy,A,52%,16%,10%,8%,14%,"Explanation:
Germ Cell tumour
Ovarian germ cell tumours include teratomas, yolk sac tumours, choriocarcinomas and mixed germ cell tumours. Ovarian embryonal carcinoma and dysgerminomas are also germ cell tumours. Approximately 95% of germ cell tumorus are benign teratomas and of the remaining 5% the most common ovarian malignant germ cell tumour is the dysgerminoma. Germ cell tumours make up approximately a quarter of all ovarian tumours and tend to affect young adults or children although can occur at any age. Besides pregnancy and gestational trophoblastic disease, βHCG can also be raised ovarian embryonal carcinoma and dysgerminoma. Embryonal carcinoma can also cause elevation of AFP levels although this would be more classically associated with a Leydig-Sertoli tumour. Embryonal carcinoma can cause menstrual irregularity and any torting ovarian tumour can lead to the acute presentation described. Thick septa as a finding in ovarian masses is strongly linked to malignancy of any nature.
  Pelvic inflammatory disease (PID)
This is a coverall term applied to ascending infection of the genital tract. It encompasses endometritis, salpingitis, hydrosalpinx, pyosalpinx, and tubo-ovarian abscesses. Chlamydia and gonorrhoea account of most of the cases and the disease is most prevalent in sexually active young people. Imaging features are those secondary to inflammation with increased vascularity to the endometrium and small volume ascites. Inflammation is also seen on MRI as avid enhancement post contrast. Pelvic inflammatory disease can be complicated by a condition called Fitz-Hugh-Curtis syndrome where there is perihepatitis secondary to PID. 
  Granulosa cell tumours
These oestrogen producing tumours can affect women of any age. The excess oestrogen causes irregular or post menopausal bleeding. They tend to be large and multicystic with thick septations and a sponge-like appearance. Importantly they can be differentiated from epithelial ovarian tumours (e.g. Mucinous cystanedomas) by their lack of a feature described as intracystic papillary projections.
  Dermoid
Teratomas and dermoid cysts have very similar imaging characteristics despite their histological differences. They are usually described interchangeably in literature. Mature teratomas are the most common ovarian neoplasm but are slow growing and usually benign. By contrast immature teratomas are malignant. The presence of fat is a strong indicator for a mature teratoma or a dermoid with the combination of fat, fluid and calcification being highly specific. On MRI the fat will show the usual signal drop-out on gradient echo sequences. Calcification is low in signal on T2. Although benign, dermoids can be complicated by torsion or rupture. Malignant degeneration if it does occur, is to squamous cell carcinoma most commonly.
  Ectopic pregnancy 
Vaginal bleeding is very common in early pregnancy but vaginal bleeding with pain or pain without vaginal bleeding definitely call for an ectopic pregnancy to be excluded. Factors which increase the risk of ectopic pregnancy include:
Previous ectopic 
IVF conception
Previous surgery to the Fallopian tubes
PID
Since most present around 7-8 weeks gestation it is usual that the woman will not yet have had the first routine ultrasound scan, or in many cases, may not yet be aware of the pregnancy at all. Serial serum βHCGs usually fail to double in the usual 48hours for ectopic pregnancies. The exact level of βHCG helps guide the sonographer as to what they can expect to find. An ectopic pregnancy is most commonly located within one or other Fallopian tube. Ultrasound will fail to show an intrauterine pregnancy and the ectopic pregnancy can often be seen as a cystic mass elsewhere. The classic ‘ring of fire’ sign refers to the peripheral colour Doppler flow seen on an ectopic pregnancy although this can also be seen on a normal corpus luteal cyst.",FALSE,"Ectopic pregnancy is the most likely diagnosis in this case because the patient is a 15-year-old girl with irregular periods, an acute fever and pain, and a raised βHCG level. Additionally, an ultrasound scan revealed the presence of a cystic mass with thick septa on the left, which is a common symptom of ectopic pregnancy.",2,,E,FALSE,,D,,
14385,231994,You are performing an ultrasound scan on a 4-year-old boy whose parents are concerned that his stomach has become very large. There is a large mass in the left retroperitoneal space. It is heterogeneous in echotexture. The boy goes onto have a CT scan which shows displacement of the IVC and curvilinear calcification. You suspect he may have a Wilms tumour. Which of the following syndromes does not predispose to Wilms tumour? Select ONE answer only.,SBA: Paediatrics,Birt-Hogg-Dube syndrome,DRASH syndrome,WAGR syndrome,Perlman syndrome,Golabi-Behmel syndrome,A,67%,5%,3%,10%,14%,"Explanation:
Birt-Hogg-Dube syndrome is a very rare condition which predisposes to chromophobic RCCs. Patients also suffer from pulmonary cysts (increased risk of spontaneous pneumothorax) and fibrofolliculomas (benign fibrous tumours related to the hair follicles).
Predisposing syndromes for Wilms tumour
Beckwith-Wiedemann syndrome - macroglossia, hemihypertrophy, visceromegaly, omphalocoele
DRASH syndrome - progressive glomerulonephritis and male pseudohermaphroditism
WAGR syndrome - Wilms tumour, aniridia, GU abnormalities, mental retardation
Perlman syndrome - polyhydramnios, macrocephaly, visceromegaly
Golabi-Behmel syndrome - macrostomia, macroglossia, occular hypertelorism
  Wilms tumour (nephroblastoma)
This is the most common abdominal mass in children under the age of 8. There are reasonably strong associations with renal anomalies, genital anomalies, aniridia and Beckwith-Wiedemann syndrome (although the last of these also has an association with neuroblastoma). Presentation is usually with an abdominal mass and/or pain.
On imaging the masses are usually heterogenous. Cystic areas can often be seen secondary to areas of necrosis. The claw sign occurs when there is a rim of normal renal tissue extending part of the way around the mass. A Wilms tumour is often described as enhancing but less so than the adjacent normal renal parenchyma.
  Renal cell carcinoma
After around the age of 11 the incidence of Wilms tumours and renal cell carcinomas are approximately equal. It can be extremely difficult, nigh on impossible, to tell the two apart on imaging characteristics alone. In general however, renal cell carcinomas are more likely to present with haematuria whereas Wilms tumours, being usually very large, are more likely to present as a large abdominal mass. Both can exhibit calcification, though this is more common in renal cell cancer, and both can invade the renal veins or IVC. Any child diagnosed with a renal cell carcinoma must be screened for von Hippel Lindau syndrome.",TRUE,"I chose number 2, Birt-Hogg-Dube syndrome, because it does not predispose to Wilms tumour. Birt-Hogg-Dube syndrome is an autosomal dominant disorder that is characterized by skin lesions, pulmonary cysts, and an increased risk of kidney cancer. Wilms tumour, however, is not associated with this syndrome.",1,3. A question about applying knowledge to a clinical scenario.,A,TRUE,,A,,
15012,231994,"A 74-year-old man presents with abdominal pain, Contrast enhanced CT demonstrates a large mass arising from the duodenum with foci of necrosis and calcification. The mass is heterogeneously enhancing and does not obstruct the lumen. Which of the following is the most likely diagnosis?",SBA: Gastrointestinal,Intestinal GIST,Intestinal Lymphoma,Intestinal metastases,Carcinoid,Primary Duodenal Carcinoma,A,73%,14%,1%,10%,2%,"Explanation:
The duodenum is the most common location for intestinal GIST. It is an endoluminal and exophytic mass; there is often aneurysmal dilatation of the lumen. It demonstrates heterogeneous enhancement with central necrosis, unlike Intestinal lymphoma. Lymphatic spread is rare with GIST.
Intestinal metastases present as intramural masses that can compress or obstruct the lumen. Carcinoid tumours are solitary and enhancing. They are associated with mesenteric metastases with a desmoplastic response. Primary duodenal carcinoma mostly presents with small bowel obstruction.",FALSE,"I chose 5. Primary Duodenal Carcinoma because the CT scan findings are most consistent with this diagnosis. The large mass arising from the duodenum with foci of necrosis and calcification, and heterogeneous enhancement are all features of a primary duodenal carcinoma. Other diagnoses, such as intestinal lymphoma, intestinal metastases, and intestinal GIST, would not typically present with these findings. Carcinoid tumors tend to be smaller and less heterogeneously enhancing than a primary duodenal carcinoma.",2,,E,TRUE,,A,,
12856,231994,You are performing a renal artery doppler on a 65-year-old gentleman with worsening renal failure discovered at his most recent blood pressure medication review. An Captopril 99mTc-MAG3  scan showed a delayed time to peak activity on the left side. The ultrasound shows the left kidney to be smaller than the right and on Doppler insonation the arterial peak velocity reading is higher than normal. What is the most likely diagnosis?,"SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",Unilateral renal artery stenosis,Fibromuscular dysplasia,Buerger disease,Retroperitoneal fibrosis,Polyarteritis nodosa,A,95%,2%,1%,1%,1%,"Explanation:
Renovascular hypertension
This term is used to denote high blood pressure caused by renal artery stenosis or other renal vascular pathology. It is an important entity which affects around 5% of hypertensives and should be suspected in particularly young patients, those whose hypertension suddenly worsens or in patients who experience a drop in renal function following commencement of an ACE inhibitor.
  Tc99m-MAG3, I131-OIH or Tc99m- DTPA can all be used to show differential activity of the kidneys. This test combined with the use of an ACE inhibitor such as enalapril or captopril can facilitate the diagnosis of renovascular hypertension, including unilateral renal artery stenosis although is less sensitive for cases of bilateral renal artery stenosis. Initially the affected kidney will have a slower time to peak activity than the normal counterpart. On administration of an ACE inhibitor the affected side will show a marked lengthening of the time to peak activity as well as an increase in the transit time (seen as a slow downslope of activity following the peak). This arises since the normal effect of the ACE inhibitor on the unaffected size causes retention of tracer and preservation of activity within the kidney whereas the affected side experiences slow transit of the tracer through the kidney.
  Renin-Angiotensin System
Renin is released by the kidneys in response to low renal perfusion levels. It converts angiotensinogen to Angiotensin I which is then converted to angiotensin II by the angiotensin-converting enzyme (ACE). Angiotensin II is a vasoconstrictor which acts on, among other things, the kidneys causing water retention but at the expense of blood pressure. Thus ACE inhibitors, used extensively to manage high blood pressure, work by preventing renal arteriole vasoconstriction. In patients with renovascular hypertension the renal perfusion pressure is low, not because of an absence of water but because the arterial flow is compromised. Thus the usual mechanism of the renin-angiotensin system serves only to exacerbate the problem by increasing blood pressure further and adding more strain to an already strained system.
  Image sourced from Wikipedia
Courtesy of A. Rad CC BY-SA 3.0
  Renal artery stenosis
There are three main aetiologies of renal artery stenosis. The most prevalent is atherosclerosis. Fibromuscular dysplasia is the second most common and is classically given as affecting a relatively young woman with beading (string of beads) of the mid and distal renal arteries seen, for which the management is angioplasty. Finally a small number of cases are secondary to a variety of conditions such as Buerger’s disease, Takayasu’s disease and neurofibromatosis.
The significance of diagnosis of atherosclerotic renal artery stenosis is in avoiding the use of ACE inhibitors. The ASTRAL trial showed that there was no long term benefit of stenting the stenoses over best medical management, although there was still a reduction in the number of episodes of flash pulmonary oedema experienced by the patients.
Slightly different numbers are given in the different sources.
  Signs of renal artery stenosis
Peak systolic velocity (PSV)
>150-180 cm/s
Ratio of peak renal artery velocity to peak aortic velocity (RAR)
>3.5
Resistive Index (RI)
<0.5
Difference in RI between left and right
>5%
Renal-interlobar ratio (RIR)
>5
Pulsus parvus (increased peak) et tardus (late) waveform
-
 ",TRUE,"I chose 4. Unilateral renal artery stenosis because the ultrasound showed the left kidney to be smaller than the right and on Doppler insonation the arterial peak velocity reading was higher than normal. This is indicative of a narrowing of the renal artery, which is a hallmark symptom of unilateral renal artery stenosis. The other conditions listed can also cause narrowing of the renal artery, but the combination of the Captopril 99mTc-MAG3 scan and the Doppler insonation reading makes unilateral renal artery stenosis the most likely diagnosis.",2,,A,TRUE,,A,,
12326,231994,A 34-year-old lady wakes up with unilateral facial nerve paralysis affecting her face. She takes herself to A and E where she is investigated with an MRI head. Which part of the facial nerve is most likely to be affected?,SBA: Central Nervous and Head & Neck,Labyrinthine,Cisternal,Geniculate ganglion,Tympanic,Mastoid,A,40%,8%,27%,12%,13%,"Explanation:
The question refers to Bells palsy.
The seventh cranial nerve undergoes a number of turns as it crosses through the temporal bone.
The pontine (or Cisternal) segment runs from the pons to the internal auditory meatus. This can enhance Bell palsy.
The Labyrinthine (or meatal) segment runs from the internal auditory meatus to the geniculate ganglion and enhancement is most typically associated with Bells palsy.
The Tympanic portion runs horizontally from the geniculate ganglion. It is also seen to enhance with Bells palsy but since it is known to enhance normally too this is not a distinguishing feature.
The mastoid portion runs vertically (and gives off the nerve to stapedius). It can also enhance normally.
The parotid portion runs distally from the stylomastoid foramen and lies lateral to the retromandibular vein.",FALSE,"The geniculate ganglion is the most likely part of the facial nerve to be affected in this case because it is the most proximal segment of the facial nerve. It is located in the temporal bone and is responsible for the motor control of the facial muscles. Therefore, it can be affected by trauma or inflammation, which can lead to unilateral facial nerve paralysis.",1,3. A question about the application of knowledge to a clinical situation.,C,FALSE,,C,,
9706,231994,You are the duty radiologist at your hospital and a radiographer colleague brings you an x-ray request from a local GP. The request is for bilateral whole leg views of a 16-month-old baby who started walking three months previously but now has bowed legs. The GP has done some blood tests which were all normal. What is the most next most appropriate treatment?,SBA: Paediatrics,Nothing,AP and frog leg lateral views,Hip views,Knee views,Weight bearing views,A,57%,19%,2%,5%,16%,"Explanation:
Once a child becomes weight bearing, minor bowing of the legs is very common and provided the child is otherwise well and it resolves by around 18 months of age, nothing further need be done.",FALSE,"I chose this option because AP and frog leg lateral views are the best way to assess for bowed legs in a 16-month-old baby who has just started walking. These views will provide the most comprehensive assessment of the baby's lower extremities and will allow for the most accurate diagnosis. Additionally, these views can help to rule out any potential underlying causes for the bowed legs, such as Blount's disease or rickets.",2,,B,FALSE,,E,,
12001,231994,A man is admitted with left sided weakness and facial droop which began 8 hours previously. Which of the following would be a contraindication to thrombolysis with alteplase?,SBA: Central Nervous and Head & Neck,The fact that this began 8 hours ago,Normal CT head,Insular ribbon sign,Swollen parietal lobe,Patient aged 18,A,84%,3%,2%,9%,2%,"Explanation:
Practices vary locally however the usual quoted time frame is 4.5 hours following onset of symptoms. 8 hours is much beyond this.
A normal CT head is often the case for patients who are thrombolysed. There is a time lag before infarcted tissue becomes radiologically apparent. Loss of the insular ribbon sign refers to loss of grey-white matter differentiation at the insular cortex and is often seen with MCA territory infarctions. It forms part of the assessment of the ASPECTS score whereby 10 specific parts of the MCA territory are reviewed. Patients with more than two of these areas involved who are thrombolysed have been shown to have poorer outcomes than those not thrombolysed so whilst insular ribbon involvement on its own is not a contraindication it can contribute to the overall picture.",FALSE,"The normal CT head is a contraindication to thrombolysis with alteplase because it suggests that the patient does not have a clot causing the symptoms. Alteplase is a thrombolytic agent that is used to dissolve clots in the blood vessels, and if there is no clot present, then it would not be beneficial to use this medication.",1,"This question falls under category 1: Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",A,TRUE,,A,,
13977,231994,A 3-day-old baby is referred for an ultrasound scan with ambiguous genitalia. The ultrasound demonstrates a normal uterus although the ovaries are not seen. What is the most likely explanation? Select ONE answer only.,SBA: Paediatrics,Congenital adrenal hyperplasia,Mullerian duct anomalies,Turner syndrome,Kleinfelter syndrome,Beckwith-Wiedemann Syndrome,A,49%,13%,24%,11%,3%,"Explanation:
Congenital adrenal hyperplasia (CAH)
Normal-appearing adrenal glands does not exclude a diagnosis of CAH however usually the classical appearance for the adrenal glands in a case of CAH is of diffuse enlargement with a so-called 'wrinkled' morphology. The word 'cerebriform' is often used to describe them and compares their appearance to that of the brain. The usual hypoechoic cortex and hyperechoic medulla is still seen but the enlarged gland is folded upon itself giving the wrinkled appearance. The role of ultrasound is also to discern any normal male or female anatomy. The normal uterus can usually be identified, if present, but the ovaries may simply be too small at birth to appreciate. In contrast, the normal testes, where present, should be visible with ultrasound from birth. Females usually present with ambiguous genitalia whereas males can present later with severe electrolyte imbalances.
  Mullerian duct anomalies (MDA)
The two Mullerian ducts form separately then fuse in the first trimester to form all the structures between the upper vagina and the fallopian tubes. The final part of the amalgamation of the two sides is resorption of the central uterine septum.
  Beckwith-Wiedemann syndrome also known as EMG syndrome (Exomphalos, Macroglossia, Gigantism)
This curious condition crops up in a number of different radiology circles. It is caused by a mutation on chromosome 11 and leads to a specific set of clinical manifestations, chief among them are the three which give it the alternative name of EMG syndrome. Malrotation of the small intestine is another feature which has a high concordance with this condition.",FALSE,Mullerian duct anomalies are the most likely explanation for an ultrasound scan of a 3-day-old baby with ambiguous genitalia that shows a normal uterus but no ovaries. This is because Mullerian duct anomalies are the most common cause of ambiguous genitalia in newborns and can cause the uterus to be present but the ovaries to be absent.,2,"3. A question about a clinical scenario.

3. A question about a clinical scenario.",B,TRUE,,A,,
10681,231994,You are discussing the management plan for a 65-year-old man with a symptomatic stenosis of the popliteal artery. He is obese with a BMI of 48 but has no other medical problems. Which of the following interventional options is the most suitable?,SBA: Cardiothoracic and vascular,Retrograde access via the superficial femoral artery,Antegrade access via the superficial femoral artery,Antegrade access via the profunda femoris artery,Retrograde access via the profunda femoris artery,Retrograde access via the popliteal artery,A,36%,53%,4%,3%,5%,"Explanation:
The correct access should of course be determined on a case by case basis and will take into account various facets such as the patient body habitus, any previous access used and the disease site.
The retrograde approach is easier to perform, and patients usually go on to have a lower rate of post-procedure complications.
Antegrade – straight down the ipsilateral side
Retrograde – contralateral groin, up and over the aortic bifurcation
+ Avoids crossover
- Crossover required
- Harder in patients with a high BMI
+ More suited to patients with a high BMI
- Less operator maneuverability
+ Greater operator maneuverability
- Harder to perform
+ Easier to perform
  The common femoral artery (CFA) is usually the best candidate since it is large and easy to find as it courses over the femoral head. Its proximity to the femoral head facilitates effective compression post-procedure minimizing the risk of complications.
Here use of the CFA is contraindicated (or not given as an option!) the superficial femoral artery (SFA) is the next best option. Owing to its superficial nature it can be an easier target in obese patients. The popliteal artery is a continuation of the SFA so clearly antegrade access via the profunda femoris artery is nonsensical.
Direct popliteal artery access is performed during SFA angioplasty when conventional approaches are not feasible however would be an unusual approach for this case.",FALSE,"I chose this option because it is the safest and least invasive method of accessing the popliteal artery. It is important to minimize the risk of complications in this patient due to their age and obesity. By accessing the artery via the superficial femoral artery, the risk of vascular injury is minimized, as the artery is located more superficially and is easier to access. Additionally, this method is less likely to cause damage to the surrounding tissue, which is important for this patient.",2,"This question falls under category 2: A question about clinical judgement, what is the correct diagnosis?",C,FALSE,,B,,
14014,231994,A 65-year-old man suffers a myocardial infarction and undergoes a primary angioplasty. He is discovered to have a blockage in the left coronary artery. Which SINGLE statement regarding the left coronary artery is true?,SBA: Cardiothoracic and vascular,It supplies part of the bundle of His,It bifurcates into the anterior interventricular branch and the left marginal branch,It supplies the SA and AV nodes,It continues to the apex of the heart as the posterior descending artery,It is smaller than the right coronary artery,A,62%,18%,5%,8%,7%,"Explanation:
The left coronary artery arises from the aorta above the left cusp of the aortic valve. It supplies the left atrium, left ventricle, intraventricular septum and part of the left branch bundle of His. It is larger than the right coronary artery.
It passes between the left side of the pulmonary trunk and the left auricle and then birfucates into the left anterior descending artery (LAD), which is also called the anterior interventricular branch, and the left circumflex artery (LCA). Sometimes an additional artery arises at the bifurcation called the ramus or intermediate artery.
The LAD follows the anterior interventricular groove towards the apex of the heart and then continues to the posterior surface of the heart to anastamose with the posterior interventricular branch.
The LCA follows the anterior interventricular groove to the left border of the heart and then proceeds to the posterior surface. It then gives rise to the left marginal branch, which follows the left border of the heart.
The right coronary artery arises above the right cusp of the aortic valve. It supplies the right atrium, the SA and AV nodes and the posterior part of the interventricular septum.
It runs along the right atrioventricular groove before branching. The right marginal artery arises first and then the right coronary artery continues on to the posterior surface of the heart, still running in the right atrioventricular groove. The posterior descending artery (PDA), which is also called the posterior interventricular artery, arises next and then follows the posterior interventricular groove towards the apex of the heart.
    Image sourced from Wikipedia
Courtesy of Patrick J. Lynch CC BY-SA 3.0",FALSE,"I chose number 5 because the left coronary artery is typically smaller than the right coronary artery. The left coronary artery supplies the left ventricle and the interventricular septum, while the right coronary artery supplies the right ventricle and the posterior wall of the left ventricle. The left coronary artery bifurcates into the anterior interventricular branch and the left marginal branch, and it continues to the apex of the heart as the posterior descending artery.",1,"3. A question about clinical management, what is the best course of action?

The question falls under Category 3: A question about clinical management, what is the best course of action?",E,FALSE,,B,,
